Planning Area,Subzone,Age,Sex,Count
Marina East,Marina East,76,Females,-
Marina East,Marina East,77,Total,-
Marina East,Marina East,77,Males,-
Marina East,Marina East,77,Females,-
Marina East,Marina East,78,Total,-
Marina East,Marina East,78,Males,-
Marina East,Marina East,78,Females,-
Marina East,Marina East,79,Total,-
Marina East,Marina East,79,Males,-
Marina East,Marina East,79,Females,-
Marina East,Marina East,80,Total,-
Marina East,Marina East,80,Males,-
Marina East,Marina East,80,Females,-
Marina East,Marina East,81,Total,-
Marina East,Marina East,81,Males,-
Marina East,Marina East,81,Females,-
Marina East,Marina East,82,Total,-
Marina East,Marina East,82,Males,-
Marina East,Marina East,82,Females,-
Marina East,Marina East,83,Total,-
Marina East,Marina East,83,Males,-
Marina East,Marina East,83,Females,-
Marina East,Marina East,84,Total,-
Marina East,Marina East,84,Males,-
Marina East,Marina East,84,Females,-
Marina East,Marina East,85,Total,-
Marina East,Marina East,85,Males,-
Marina East,Marina East,85,Females,-
Marina East,Marina East,86,Total,-
Marina East,Marina East,86,Males,-
Marina East,Marina East,86,Females,-
Marina East,Marina East,87,Total,-
Marina East,Marina East,87,Males,-
Marina East,Marina East,87,Females,-
Marina East,Marina East,88,Total,-
Marina East,Marina East,88,Males,-
Marina East,Marina East,88,Females,-
Marina East,Marina East,89,Total,-
Marina East,Marina East,89,Males,-
Marina East,Marina East,89,Females,-
Marina East,Marina East,90 & Over,Total,-
Marina East,Marina East,90 & Over,Males,-
Marina East,Marina East,90 & Over,Females,-
Marina South,Total,Total,Total,-
Marina South,Total,Total,Males,-
Marina South,Total,Total,Females,-
Marina South,Total,0,Total,-
Marina South,Total,0,Males,-
Marina South,Total,0,Females,-
Marina South,Total,1,Total,-
Marina South,Total,1,Males,-
Marina South,Total,1,Females,-
Marina South,Total,2,Total,-
Marina South,Total,2,Males,-
Marina South,Total,2,Females,-
Marina South,Total,3,Total,-
Marina South,Total,3,Males,-
Marina South,Total,3,Females,-
Marina South,Total,4,Total,-
Marina South,Total,4,Males,-
Marina South,Total,4,Females,-
Marina South,Total,5,Total,-
Marina South,Total,5,Males,-
Marina South,Total,5,Females,-
Marina South,Total,6,Total,-
Marina South,Total,6,Males,-
Marina South,Total,6,Females,-
Marina South,Total,7,Total,-
Marina South,Total,7,Males,-
Marina South,Total,7,Females,-
Marina South,Total,8,Total,-
Marina South,Total,8,Males,-
Marina South,Total,8,Females,-
Marina South,Total,9,Total,-
Marina South,Total,9,Males,-
Marina South,Total,9,Females,-
Marina South,Total,10,Total,-
Marina South,Total,10,Males,-
Marina South,Total,10,Females,-
Marina South,Total,11,Total,-
Marina South,Total,11,Males,-
Marina South,Total,11,Females,-
Marina South,Total,12,Total,-
Marina South,Total,12,Males,-
Marina South,Total,12,Females,-
Marina South,Total,13,Total,-
Marina South,Total,13,Males,-
Marina South,Total,13,Females,-
Marina South,Total,14,Total,-
Marina South,Total,14,Males,-
Marina South,Total,14,Females,-
Marina South,Total,15,Total,-
Marina South,Total,15,Males,-
Marina South,Total,15,Females,-
Marina South,Total,16,Total,-
Marina South,Total,16,Males,-
Marina South,Total,16,Females,-
Marina South,Total,17,Total,-
Marina South,Total,17,Males,-
Marina South,Total,17,Females,-
Marina South,Total,18,Total,-
Marina South,Total,18,Males,-
Marina South,Total,18,Females,-
Marina South,Total,19,Total,-
Marina South,Total,19,Males,-
Marina South,Total,19,Females,-
Marina South,Total,20,Total,-
Marina South,Total,20,Males,-
Marina South,Total,20,Females,-
Marina South,Total,21,Total,-
Marina South,Total,21,Males,-
Marina South,Total,21,Females,-
Marina South,Total,22,Total,-
Marina South,Total,22,Males,-
Marina South,Total,22,Females,-
Marina South,Total,23,Total,-
Marina South,Total,23,Males,-
Marina South,Total,23,Females,-
Marina South,Total,24,Total,-
Marina South,Total,24,Males,-
Marina South,Total,24,Females,-
Marina South,Total,25,Total,-
Marina South,Total,25,Males,-
Marina South,Total,25,Females,-
Marina South,Total,26,Total,-
Marina South,Total,26,Males,-
Marina South,Total,26,Females,-
Marina South,Total,27,Total,-
Marina South,Total,27,Males,-
Marina South,Total,27,Females,-
Marina South,Total,28,Total,-
Marina South,Total,28,Males,-
Marina South,Total,28,Females,-
Marina South,Total,29,Total,-
Marina South,Total,29,Males,-
Marina South,Total,29,Females,-
Marina South,Total,30,Total,-
Marina South,Total,30,Males,-
Marina South,Total,30,Females,-
Marina South,Total,31,Total,-
Marina South,Total,31,Males,-
Marina South,Total,31,Females,-
Marina South,Total,32,Total,-
Marina South,Total,32,Males,-
Marina South,Total,32,Females,-
Marina South,Total,33,Total,-
Marina South,Total,33,Males,-
Marina South,Total,33,Females,-
Marina South,Total,34,Total,-
Marina South,Total,34,Males,-
Marina South,Total,34,Females,-
Marina South,Total,35,Total,-
Marina South,Total,35,Males,-
Marina South,Total,35,Females,-
Marina South,Total,36,Total,-
Marina South,Total,36,Males,-
Marina South,Total,36,Females,-
Marina South,Total,37,Total,-
Marina South,Total,37,Males,-
Marina South,Total,37,Females,-
Marina South,Total,38,Total,-
Marina South,Total,38,Males,-
Marina South,Total,38,Females,-
Marina South,Total,39,Total,-
Marina South,Total,39,Males,-
Marina South,Total,39,Females,-
Marina South,Total,40,Total,-
Marina South,Total,40,Males,-
Marina South,Total,40,Females,-
Marina South,Total,41,Total,-
Marina South,Total,41,Males,-
Marina South,Total,41,Females,-
Marina South,Total,42,Total,-
Marina South,Total,42,Males,-
Marina South,Total,42,Females,-
Marina South,Total,43,Total,-
Marina South,Total,43,Males,-
Marina South,Total,43,Females,-
Marina South,Total,44,Total,-
Marina South,Total,44,Males,-
Marina South,Total,44,Females,-
Marina South,Total,45,Total,-
Marina South,Total,45,Males,-
Marina South,Total,45,Females,-
Marina South,Total,46,Total,-
Marina South,Total,46,Males,-
Marina South,Total,46,Females,-
Marina South,Total,47,Total,-
Marina South,Total,47,Males,-
Marina South,Total,47,Females,-
Marina South,Total,48,Total,-
Marina South,Total,48,Males,-
Marina South,Total,48,Females,-
Marina South,Total,49,Total,-
Marina South,Total,49,Males,-
Marina South,Total,49,Females,-
Marina South,Total,50,Total,-
Marina South,Total,50,Males,-
Marina South,Total,50,Females,-
Marina South,Total,51,Total,-
Marina South,Total,51,Males,-
Marina South,Total,51,Females,-
Marina South,Total,52,Total,-
Marina South,Total,52,Males,-
Marina South,Total,52,Females,-
Marina South,Total,53,Total,-
Marina South,Total,53,Males,-
Marina South,Total,53,Females,-
Marina South,Total,54,Total,-
Marina South,Total,54,Males,-
Marina South,Total,54,Females,-
Marina South,Total,55,Total,-
Marina South,Total,55,Males,-
Marina South,Total,55,Females,-
Marina South,Total,56,Total,-
Marina South,Total,56,Males,-
Marina South,Total,56,Females,-
Marina South,Total,57,Total,-
Marina South,Total,57,Males,-
Marina South,Total,57,Females,-
Marina South,Total,58,Total,-
Marina South,Total,58,Males,-
Marina South,Total,58,Females,-
Marina South,Total,59,Total,-
Marina South,Total,59,Males,-
Marina South,Total,59,Females,-
Marina South,Total,60,Total,-
Marina South,Total,60,Males,-
Marina South,Total,60,Females,-
Marina South,Total,61,Total,-
Marina South,Total,61,Males,-
Marina South,Total,61,Females,-
Marina South,Total,62,Total,-
Marina South,Total,62,Males,-
Marina South,Total,62,Females,-
Marina South,Total,63,Total,-
Marina South,Total,63,Males,-
Marina South,Total,63,Females,-
Marina South,Total,64,Total,-
Marina South,Total,64,Males,-
Marina South,Total,64,Females,-
Marina South,Total,65,Total,-
Marina South,Total,65,Males,-
Marina South,Total,65,Females,-
Marina South,Total,66,Total,-
Marina South,Total,66,Males,-
Marina South,Total,66,Females,-
Marina South,Total,67,Total,-
Marina South,Total,67,Males,-
Marina South,Total,67,Females,-
Marina South,Total,68,Total,-
Marina South,Total,68,Males,-
Marina South,Total,68,Females,-
Marina South,Total,69,Total,-
Marina South,Total,69,Males,-
Marina South,Total,69,Females,-
Marina South,Total,70,Total,-
Marina South,Total,70,Males,-
Marina South,Total,70,Females,-
Marina South,Total,71,Total,-
Marina South,Total,71,Males,-
Marina South,Total,71,Females,-
Marina South,Total,72,Total,-
Marina South,Total,72,Males,-
Marina South,Total,72,Females,-
Marina South,Total,73,Total,-
Marina South,Total,73,Males,-
Marina South,Total,73,Females,-
Marina South,Total,74,Total,-
Marina South,Total,74,Males,-
Marina South,Total,74,Females,-
Marina South,Total,75,Total,-
Marina South,Total,75,Males,-
Marina South,Total,75,Females,-
Marina South,Total,76,Total,-
Marina South,Total,76,Males,-
Marina South,Total,76,Females,-
Marina South,Total,77,Total,-
Marina South,Total,77,Males,-
Marina South,Total,77,Females,-
Marina South,Total,78,Total,-
Marina South,Total,78,Males,-
Marina South,Total,78,Females,-
Marina South,Total,79,Total,-
Marina South,Total,79,Males,-
Marina South,Total,79,Females,-
Marina South,Total,80,Total,-
Marina South,Total,80,Males,-
Marina South,Total,80,Females,-
Marina South,Total,81,Total,-
Marina South,Total,81,Males,-
Marina South,Total,81,Females,-
Marina South,Total,82,Total,-
Marina South,Total,82,Males,-
Marina South,Total,82,Females,-
Marina South,Total,83,Total,-
Marina South,Total,83,Males,-
Marina South,Total,83,Females,-
Marina South,Total,84,Total,-
Marina South,Total,84,Males,-
Marina South,Total,84,Females,-
Marina South,Total,85,Total,-
Marina South,Total,85,Males,-
Marina South,Total,85,Females,-
Marina South,Total,86,Total,-
Marina South,Total,86,Males,-
Marina South,Total,86,Females,-
Marina South,Total,87,Total,-
Marina South,Total,87,Males,-
Marina South,Total,87,Females,-
Marina South,Total,88,Total,-
Marina South,Total,88,Males,-
Marina South,Total,88,Females,-
Marina South,Total,89,Total,-
Marina South,Total,89,Males,-
Marina South,Total,89,Females,-
Marina South,Total,90 & Over,Total,-
Marina South,Total,90 & Over,Males,-
Marina South,Total,90 & Over,Females,-
Marina South,Marina South,Total,Total,-
Marina South,Marina South,Total,Males,-
Marina South,Marina South,Total,Females,-
Marina South,Marina South,0,Total,-
Marina South,Marina South,0,Males,-
Marina South,Marina South,0,Females,-
Marina South,Marina South,1,Total,-
Marina South,Marina South,1,Males,-
Marina South,Marina South,1,Females,-
Marina South,Marina South,2,Total,-
Marina South,Marina South,2,Males,-
Marina South,Marina South,2,Females,-
Marina South,Marina South,3,Total,-
Marina South,Marina South,3,Males,-
Marina South,Marina South,3,Females,-
Marina South,Marina South,4,Total,-
Marina South,Marina South,4,Males,-
Marina South,Marina South,4,Females,-
Marina South,Marina South,5,Total,-
Marina South,Marina South,5,Males,-
Marina South,Marina South,5,Females,-
Marina South,Marina South,6,Total,-
Marina South,Marina South,6,Males,-
Marina South,Marina South,6,Females,-
Marina South,Marina South,7,Total,-
Marina South,Marina South,7,Males,-
Marina South,Marina South,7,Females,-
Marina South,Marina South,8,Total,-
Marina South,Marina South,8,Males,-
Marina South,Marina South,8,Females,-
Marina South,Marina South,9,Total,-
Marina South,Marina South,9,Males,-
Marina South,Marina South,9,Females,-
Marina South,Marina South,10,Total,-
Marina South,Marina South,10,Males,-
Marina South,Marina South,10,Females,-
Marina South,Marina South,11,Total,-
Marina South,Marina South,11,Males,-
Marina South,Marina South,11,Females,-
Marina South,Marina South,12,Total,-
Marina South,Marina South,12,Males,-
Marina South,Marina South,12,Females,-
Marina South,Marina South,13,Total,-
Marina South,Marina South,13,Males,-
Marina South,Marina South,13,Females,-
Marina South,Marina South,14,Total,-
Marina South,Marina South,14,Males,-
Marina South,Marina South,14,Females,-
Marina South,Marina South,15,Total,-
Marina South,Marina South,15,Males,-
Marina South,Marina South,15,Females,-
Marina South,Marina South,16,Total,-
Marina South,Marina South,16,Males,-
Marina South,Marina South,16,Females,-
Marina South,Marina South,17,Total,-
Marina South,Marina South,17,Males,-
Marina South,Marina South,17,Females,-
Marina South,Marina South,18,Total,-
Marina South,Marina South,18,Males,-
Marina South,Marina South,18,Females,-
Marina South,Marina South,19,Total,-
Marina South,Marina South,19,Males,-
Marina South,Marina South,19,Females,-
Marina South,Marina South,20,Total,-
Marina South,Marina South,20,Males,-
Marina South,Marina South,20,Females,-
Marina South,Marina South,21,Total,-
Marina South,Marina South,21,Males,-
Marina South,Marina South,21,Females,-
Marina South,Marina South,22,Total,-
Marina South,Marina South,22,Males,-
Marina South,Marina South,22,Females,-
Marina South,Marina South,23,Total,-
Marina South,Marina South,23,Males,-
Marina South,Marina South,23,Females,-
Marina South,Marina South,24,Total,-
Marina South,Marina South,24,Males,-
Marina South,Marina South,24,Females,-
Marina South,Marina South,25,Total,-
Marina South,Marina South,25,Males,-
Marina South,Marina South,25,Females,-
Marina South,Marina South,26,Total,-
Marina South,Marina South,26,Males,-
Marina South,Marina South,26,Females,-
Marina South,Marina South,27,Total,-
Marina South,Marina South,27,Males,-
Marina South,Marina South,27,Females,-
Marina South,Marina South,28,Total,-
Marina South,Marina South,28,Males,-
Marina South,Marina South,28,Females,-
Marina South,Marina South,29,Total,-
Marina South,Marina South,29,Males,-
Marina South,Marina South,29,Females,-
Marina South,Marina South,30,Total,-
Marina South,Marina South,30,Males,-
Marina South,Marina South,30,Females,-
Marina South,Marina South,31,Total,-
Marina South,Marina South,31,Males,-
Marina South,Marina South,31,Females,-
Marina South,Marina South,32,Total,-
Marina South,Marina South,32,Males,-
Marina South,Marina South,32,Females,-
Marina South,Marina South,33,Total,-
Marina South,Marina South,33,Males,-
Marina South,Marina South,33,Females,-
Marina South,Marina South,34,Total,-
Marina South,Marina South,34,Males,-
Marina South,Marina South,34,Females,-
Marina South,Marina South,35,Total,-
Marina South,Marina South,35,Males,-
Marina South,Marina South,35,Females,-
Marina South,Marina South,36,Total,-
Marina South,Marina South,36,Males,-
Marina South,Marina South,36,Females,-
Marina South,Marina South,37,Total,-
Marina South,Marina South,37,Males,-
Marina South,Marina South,37,Females,-
Marina South,Marina South,38,Total,-
Marina South,Marina South,38,Males,-
Marina South,Marina South,38,Females,-
Marina South,Marina South,39,Total,-
Marina South,Marina South,39,Males,-
Marina South,Marina South,39,Females,-
Marina South,Marina South,40,Total,-
Marina South,Marina South,40,Males,-
Marina South,Marina South,40,Females,-
Marina South,Marina South,41,Total,-
Marina South,Marina South,41,Males,-
Marina South,Marina South,41,Females,-
Marina South,Marina South,42,Total,-
Marina South,Marina South,42,Males,-
Marina South,Marina South,42,Females,-
Marina South,Marina South,43,Total,-
Marina South,Marina South,43,Males,-
Marina South,Marina South,43,Females,-
Marina South,Marina South,44,Total,-
Marina South,Marina South,44,Males,-
Marina South,Marina South,44,Females,-
Marina South,Marina South,45,Total,-
Marina South,Marina South,45,Males,-
Marina South,Marina South,45,Females,-
Marina South,Marina South,46,Total,-
Marina South,Marina South,46,Males,-
Marina South,Marina South,46,Females,-
Marina South,Marina South,47,Total,-
Marina South,Marina South,47,Males,-
Marina South,Marina South,47,Females,-
Marina South,Marina South,48,Total,-
Marina South,Marina South,48,Males,-
Marina South,Marina South,48,Females,-
Marina South,Marina South,49,Total,-
Marina South,Marina South,49,Males,-
Marina South,Marina South,49,Females,-
Marina South,Marina South,50,Total,-
Marina South,Marina South,50,Males,-
Marina South,Marina South,50,Females,-
Marina South,Marina South,51,Total,-
Marina South,Marina South,51,Males,-
Marina South,Marina South,51,Females,-
Marina South,Marina South,52,Total,-
Marina South,Marina South,52,Males,-
Marina South,Marina South,52,Females,-
Marina South,Marina South,53,Total,-
Marina South,Marina South,53,Males,-
Marina South,Marina South,53,Females,-
Marina South,Marina South,54,Total,-
Marina South,Marina South,54,Males,-
Marina South,Marina South,54,Females,-
Marina South,Marina South,55,Total,-
Marina South,Marina South,55,Males,-
Marina South,Marina South,55,Females,-
Marina South,Marina South,56,Total,-
Marina South,Marina South,56,Males,-
Marina South,Marina South,56,Females,-
Marina South,Marina South,57,Total,-
Marina South,Marina South,57,Males,-
Marina South,Marina South,57,Females,-
Marina South,Marina South,58,Total,-
Marina South,Marina South,58,Males,-
Marina South,Marina South,58,Females,-
Marina South,Marina South,59,Total,-
Marina South,Marina South,59,Males,-
Marina South,Marina South,59,Females,-
Marina South,Marina South,60,Total,-
Marina South,Marina South,60,Males,-
Marina South,Marina South,60,Females,-
Marina South,Marina South,61,Total,-
Marina South,Marina South,61,Males,-
Marina South,Marina South,61,Females,-
Marina South,Marina South,62,Total,-
Marina South,Marina South,62,Males,-
Marina South,Marina South,62,Females,-
Marina South,Marina South,63,Total,-
Marina South,Marina South,63,Males,-
Marina South,Marina South,63,Females,-
Marina South,Marina South,64,Total,-
Marina South,Marina South,64,Males,-
Marina South,Marina South,64,Females,-
Marina South,Marina South,65,Total,-
Marina South,Marina South,65,Males,-
Marina South,Marina South,65,Females,-
Marina South,Marina South,66,Total,-
Marina South,Marina South,66,Males,-
Marina South,Marina South,66,Females,-
Marina South,Marina South,67,Total,-
Marina South,Marina South,67,Males,-
Marina South,Marina South,67,Females,-
Marina South,Marina South,68,Total,-
Marina South,Marina South,68,Males,-
Marina South,Marina South,68,Females,-
Marina South,Marina South,69,Total,-
Marina South,Marina South,69,Males,-
Marina South,Marina South,69,Females,-
Marina South,Marina South,70,Total,-
Marina South,Marina South,70,Males,-
Marina South,Marina South,70,Females,-
Marina South,Marina South,71,Total,-
Marina South,Marina South,71,Males,-
Marina South,Marina South,71,Females,-
Marina South,Marina South,72,Total,-
Marina South,Marina South,72,Males,-
Marina South,Marina South,72,Females,-
Marina South,Marina South,73,Total,-
Marina South,Marina South,73,Males,-
Marina South,Marina South,73,Females,-
Marina South,Marina South,74,Total,-
Marina South,Marina South,74,Males,-
Marina South,Marina South,74,Females,-
Marina South,Marina South,75,Total,-
Marina South,Marina South,75,Males,-
Marina South,Marina South,75,Females,-
Marina South,Marina South,76,Total,-
Marina South,Marina South,76,Males,-
Marina South,Marina South,76,Females,-
Marina South,Marina South,77,Total,-
Marina South,Marina South,77,Males,-
Marina South,Marina South,77,Females,-
Marina South,Marina South,78,Total,-
Marina South,Marina South,78,Males,-
Marina South,Marina South,78,Females,-
Marina South,Marina South,79,Total,-
Marina South,Marina South,79,Males,-
Marina South,Marina South,79,Females,-
Marina South,Marina South,80,Total,-
Marina South,Marina South,80,Males,-
Marina South,Marina South,80,Females,-
Marina South,Marina South,81,Total,-
Marina South,Marina South,81,Males,-
Marina South,Marina South,81,Females,-
Marina South,Marina South,82,Total,-
Marina South,Marina South,82,Males,-
Marina South,Marina South,82,Females,-
Marina South,Marina South,83,Total,-
Marina South,Marina South,83,Males,-
Marina South,Marina South,83,Females,-
Marina South,Marina South,84,Total,-
Marina South,Marina South,84,Males,-
Marina South,Marina South,84,Females,-
Marina South,Marina South,85,Total,-
Marina South,Marina South,85,Males,-
Marina South,Marina South,85,Females,-
Marina South,Marina South,86,Total,-
Marina South,Marina South,86,Males,-
Marina South,Marina South,86,Females,-
Marina South,Marina South,87,Total,-
Marina South,Marina South,87,Males,-
Marina South,Marina South,87,Females,-
Marina South,Marina South,88,Total,-
Marina South,Marina South,88,Males,-
Marina South,Marina South,88,Females,-
Marina South,Marina South,89,Total,-
Marina South,Marina South,89,Males,-
Marina South,Marina South,89,Females,-
Marina South,Marina South,90 & Over,Total,-
Marina South,Marina South,90 & Over,Males,-
Marina South,Marina South,90 & Over,Females,-
Marine Parade,Total,Total,Total,"44,690"
Marine Parade,Total,Total,Males,"21,020"
Marine Parade,Total,Total,Females,"23,670"
Marine Parade,Total,0,Total,280
Marine Parade,Total,0,Males,140
Marine Parade,Total,0,Females,140
Marine Parade,Total,1,Total,380
Marine Parade,Total,1,Males,180
Marine Parade,Total,1,Females,200
Marine Parade,Total,2,Total,360
Marine Parade,Total,2,Males,180
Marine Parade,Total,2,Females,180
Marine Parade,Total,3,Total,400
Marine Parade,Total,3,Males,190
Marine Parade,Total,3,Females,210
Marine Parade,Total,4,Total,440
Marine Parade,Total,4,Males,210
Marine Parade,Total,4,Females,240
Marine Parade,Total,5,Total,490
Marine Parade,Total,5,Males,240
Marine Parade,Total,5,Females,250
Marine Parade,Total,6,Total,470
Marine Parade,Total,6,Males,250
Marine Parade,Total,6,Females,230
Marine Parade,Total,7,Total,500
Marine Parade,Total,7,Males,250
Marine Parade,Total,7,Females,250
Marine Parade,Total,8,Total,500
Marine Parade,Total,8,Males,250
Marine Parade,Total,8,Females,260
Marine Parade,Total,9,Total,470
Marine Parade,Total,9,Males,220
Marine Parade,Total,9,Females,250
Marine Parade,Total,10,Total,460
Marine Parade,Total,10,Males,240
Marine Parade,Total,10,Females,220
Marine Parade,Total,11,Total,480
Marine Parade,Total,11,Males,250
Marine Parade,Total,11,Females,240
Marine Parade,Total,12,Total,500
Marine Parade,Total,12,Males,250
Marine Parade,Total,12,Females,250
Marine Parade,Total,13,Total,480
Marine Parade,Total,13,Males,250
Marine Parade,Total,13,Females,230
Marine Parade,Total,14,Total,450
Marine Parade,Total,14,Males,210
Marine Parade,Total,14,Females,240
Marine Parade,Total,15,Total,450
Marine Parade,Total,15,Males,220
Marine Parade,Total,15,Females,230
Marine Parade,Total,16,Total,470
Marine Parade,Total,16,Males,240
Marine Parade,Total,16,Females,230
Marine Parade,Total,17,Total,440
Marine Parade,Total,17,Males,230
Marine Parade,Total,17,Females,210
Marine Parade,Total,18,Total,460
Marine Parade,Total,18,Males,210
Marine Parade,Total,18,Females,240
Marine Parade,Total,19,Total,460
Marine Parade,Total,19,Males,230
Marine Parade,Total,19,Females,230
Marine Parade,Total,20,Total,470
Marine Parade,Total,20,Males,260
Marine Parade,Total,20,Females,210
Marine Parade,Total,21,Total,480
Marine Parade,Total,21,Males,240
Marine Parade,Total,21,Females,250
Marine Parade,Total,22,Total,470
Marine Parade,Total,22,Males,240
Marine Parade,Total,22,Females,230
Marine Parade,Total,23,Total,410
Marine Parade,Total,23,Males,210
Marine Parade,Total,23,Females,200
Marine Parade,Total,24,Total,470
Marine Parade,Total,24,Males,220
Marine Parade,Total,24,Females,250
Marine Parade,Total,25,Total,470
Marine Parade,Total,25,Males,240
Marine Parade,Total,25,Females,240
Marine Parade,Total,26,Total,450
Marine Parade,Total,26,Males,220
Marine Parade,Total,26,Females,240
Marine Parade,Total,27,Total,480
Marine Parade,Total,27,Males,250
Marine Parade,Total,27,Females,230
Marine Parade,Total,28,Total,490
Marine Parade,Total,28,Males,250
Marine Parade,Total,28,Females,240
Marine Parade,Total,29,Total,450
Marine Parade,Total,29,Males,210
Marine Parade,Total,29,Females,240
Marine Parade,Total,30,Total,490
Marine Parade,Total,30,Males,230
Marine Parade,Total,30,Females,270
Marine Parade,Total,31,Total,440
Marine Parade,Total,31,Males,210
Marine Parade,Total,31,Females,220
Marine Parade,Total,32,Total,510
Marine Parade,Total,32,Males,230
Marine Parade,Total,32,Females,280
Marine Parade,Total,33,Total,510
Marine Parade,Total,33,Males,240
Marine Parade,Total,33,Females,280
Marine Parade,Total,34,Total,420
Marine Parade,Total,34,Males,180
Marine Parade,Total,34,Females,240
Marine Parade,Total,35,Total,520
Marine Parade,Total,35,Males,220
Marine Parade,Total,35,Females,300
Marine Parade,Total,36,Total,540
Marine Parade,Total,36,Males,260
Marine Parade,Total,36,Females,290
Marine Parade,Total,37,Total,550
Marine Parade,Total,37,Males,240
Marine Parade,Total,37,Females,310
Marine Parade,Total,38,Total,640
Marine Parade,Total,38,Males,270
Marine Parade,Total,38,Females,370
Marine Parade,Total,39,Total,650
Marine Parade,Total,39,Males,290
Marine Parade,Total,39,Females,360
Marine Parade,Total,40,Total,700
Marine Parade,Total,40,Males,320
Marine Parade,Total,40,Females,380
Marine Parade,Total,41,Total,720
Marine Parade,Total,41,Males,330
Marine Parade,Total,41,Females,400
Marine Parade,Total,42,Total,760
Marine Parade,Total,42,Males,350
Marine Parade,Total,42,Females,410
Marine Parade,Total,43,Total,700
Marine Parade,Total,43,Males,300
Marine Parade,Total,43,Females,390
Marine Parade,Total,44,Total,710
Marine Parade,Total,44,Males,340
Marine Parade,Total,44,Females,370
Marine Parade,Total,45,Total,730
Marine Parade,Total,45,Males,320
Marine Parade,Total,45,Females,410
Marine Parade,Total,46,Total,720
Marine Parade,Total,46,Males,340
Marine Parade,Total,46,Females,380
Marine Parade,Total,47,Total,800
Marine Parade,Total,47,Males,370
Marine Parade,Total,47,Females,430
Marine Parade,Total,48,Total,870
Marine Parade,Total,48,Males,400
Marine Parade,Total,48,Females,470
Marine Parade,Total,49,Total,820
Marine Parade,Total,49,Males,400
Marine Parade,Total,49,Females,420
Marine Parade,Total,50,Total,730
Marine Parade,Total,50,Males,360
Marine Parade,Total,50,Females,370
Marine Parade,Total,51,Total,660
Marine Parade,Total,51,Males,320
Marine Parade,Total,51,Females,340
Marine Parade,Total,52,Total,670
Marine Parade,Total,52,Males,330
Marine Parade,Total,52,Females,330
Marine Parade,Total,53,Total,650
Marine Parade,Total,53,Males,320
Marine Parade,Total,53,Females,330
Marine Parade,Total,54,Total,630
Marine Parade,Total,54,Males,300
Marine Parade,Total,54,Females,330
Marine Parade,Total,55,Total,610
Marine Parade,Total,55,Males,320
Marine Parade,Total,55,Females,290
Marine Parade,Total,56,Total,610
Marine Parade,Total,56,Males,310
Marine Parade,Total,56,Females,300
Marine Parade,Total,57,Total,640
Marine Parade,Total,57,Males,320
Marine Parade,Total,57,Females,310
Marine Parade,Total,58,Total,600
Marine Parade,Total,58,Males,300
Marine Parade,Total,58,Females,300
Marine Parade,Total,59,Total,620
Marine Parade,Total,59,Males,280
Marine Parade,Total,59,Females,340
Marine Parade,Total,60,Total,590
Marine Parade,Total,60,Males,280
Marine Parade,Total,60,Females,310
Marine Parade,Total,61,Total,580
Marine Parade,Total,61,Males,300
Marine Parade,Total,61,Females,280
Marine Parade,Total,62,Total,560
Marine Parade,Total,62,Males,270
Marine Parade,Total,62,Females,290
Marine Parade,Total,63,Total,570
Marine Parade,Total,63,Males,280
Marine Parade,Total,63,Females,290
Marine Parade,Total,64,Total,550
Marine Parade,Total,64,Males,280
Marine Parade,Total,64,Females,270
Marine Parade,Total,65,Total,570
Marine Parade,Total,65,Males,270
Marine Parade,Total,65,Females,300
Marine Parade,Total,66,Total,490
Marine Parade,Total,66,Males,220
Marine Parade,Total,66,Females,270
Marine Parade,Total,67,Total,530
Marine Parade,Total,67,Males,240
Marine Parade,Total,67,Females,290
Marine Parade,Total,68,Total,500
Marine Parade,Total,68,Males,240
Marine Parade,Total,68,Females,260
Marine Parade,Total,69,Total,450
Marine Parade,Total,69,Males,200
Marine Parade,Total,69,Females,260
Marine Parade,Total,70,Total,450
Marine Parade,Total,70,Males,210
Marine Parade,Total,70,Females,250
Marine Parade,Total,71,Total,510
Marine Parade,Total,71,Males,240
Marine Parade,Total,71,Females,270
Marine Parade,Total,72,Total,500
Marine Parade,Total,72,Males,210
Marine Parade,Total,72,Females,290
Marine Parade,Total,73,Total,490
Marine Parade,Total,73,Males,220
Marine Parade,Total,73,Females,270
Marine Parade,Total,74,Total,480
Marine Parade,Total,74,Males,200
Marine Parade,Total,74,Females,280
Marine Parade,Total,75,Total,350
Marine Parade,Total,75,Males,150
Marine Parade,Total,75,Females,200
Marine Parade,Total,76,Total,260
Marine Parade,Total,76,Males,120
Marine Parade,Total,76,Females,150
Marine Parade,Total,77,Total,320
Marine Parade,Total,77,Males,130
Marine Parade,Total,77,Females,190
Marine Parade,Total,78,Total,280
Marine Parade,Total,78,Males,120
Marine Parade,Total,78,Females,160
Marine Parade,Total,79,Total,280
Marine Parade,Total,79,Males,130
Marine Parade,Total,79,Females,150
Marine Parade,Total,80,Total,310
Marine Parade,Total,80,Males,130
Marine Parade,Total,80,Females,170
Marine Parade,Total,81,Total,300
Marine Parade,Total,81,Males,130
Marine Parade,Total,81,Females,180
Marine Parade,Total,82,Total,310
Marine Parade,Total,82,Males,120
Marine Parade,Total,82,Females,190
Marine Parade,Total,83,Total,240
Marine Parade,Total,83,Males,90
Marine Parade,Total,83,Females,150
Marine Parade,Total,84,Total,200
