Planning Area,Subzone,Age,Sex,Count
Total,Total,78,Males,"7,470"
Total,Total,78,Females,"9,110"
Total,Total,79,Total,"16,150"
Total,Total,79,Males,"6,900"
Total,Total,79,Females,"9,250"
Total,Total,80,Total,"17,920"
Total,Total,80,Males,"7,650"
Total,Total,80,Females,"10,260"
Total,Total,81,Total,"16,840"
Total,Total,81,Males,"7,030"
Total,Total,81,Females,"9,800"
Total,Total,82,Total,"15,510"
Total,Total,82,Males,"6,370"
Total,Total,82,Females,"9,150"
Total,Total,83,Total,"11,940"
Total,Total,83,Males,"4,960"
Total,Total,83,Females,"6,990"
Total,Total,84,Total,"9,350"
Total,Total,84,Males,"3,880"
Total,Total,84,Females,"5,470"
Total,Total,85,Total,"8,950"
Total,Total,85,Males,"3,590"
Total,Total,85,Females,"5,360"
Total,Total,86,Total,"9,290"
Total,Total,86,Males,"3,490"
Total,Total,86,Females,"5,800"
Total,Total,87,Total,"7,660"
Total,Total,87,Males,"2,770"
Total,Total,87,Females,"4,890"
Total,Total,88,Total,"6,320"
Total,Total,88,Males,"2,280"
Total,Total,88,Females,"4,040"
Total,Total,89,Total,"5,440"
Total,Total,89,Males,"1,870"
Total,Total,89,Females,"3,570"
Total,Total,90 & Over,Total,"22,090"
Total,Total,90 & Over,Males,"6,710"
Total,Total,90 & Over,Females,"15,380"
Ang Mo Kio,Total,Total,Total,"159,150"
Ang Mo Kio,Total,Total,Males,"76,210"
Ang Mo Kio,Total,Total,Females,"82,940"
Ang Mo Kio,Total,0,Total,900
Ang Mo Kio,Total,0,Males,460
Ang Mo Kio,Total,0,Females,430
Ang Mo Kio,Total,1,Total,"1,010"
Ang Mo Kio,Total,1,Males,530
Ang Mo Kio,Total,1,Females,480
Ang Mo Kio,Total,2,Total,"1,020"
Ang Mo Kio,Total,2,Males,520
Ang Mo Kio,Total,2,Females,500
Ang Mo Kio,Total,3,Total,"1,080"
Ang Mo Kio,Total,3,Males,550
Ang Mo Kio,Total,3,Females,530
Ang Mo Kio,Total,4,Total,"1,130"
Ang Mo Kio,Total,4,Males,570
Ang Mo Kio,Total,4,Females,560
Ang Mo Kio,Total,5,Total,"1,190"
Ang Mo Kio,Total,5,Males,600
Ang Mo Kio,Total,5,Females,600
Ang Mo Kio,Total,6,Total,"1,200"
Ang Mo Kio,Total,6,Males,600
Ang Mo Kio,Total,6,Females,600
Ang Mo Kio,Total,7,Total,"1,170"
Ang Mo Kio,Total,7,Males,560
Ang Mo Kio,Total,7,Females,610
Ang Mo Kio,Total,8,Total,"1,230"
Ang Mo Kio,Total,8,Males,610
Ang Mo Kio,Total,8,Females,620
Ang Mo Kio,Total,9,Total,"1,270"
Ang Mo Kio,Total,9,Males,640
Ang Mo Kio,Total,9,Females,630
Ang Mo Kio,Total,10,Total,"1,210"
Ang Mo Kio,Total,10,Males,600
Ang Mo Kio,Total,10,Females,610
Ang Mo Kio,Total,11,Total,"1,220"
Ang Mo Kio,Total,11,Males,630
Ang Mo Kio,Total,11,Females,590
Ang Mo Kio,Total,12,Total,"1,430"
Ang Mo Kio,Total,12,Males,720
Ang Mo Kio,Total,12,Females,710
Ang Mo Kio,Total,13,Total,"1,380"
Ang Mo Kio,Total,13,Males,720
Ang Mo Kio,Total,13,Females,670
Ang Mo Kio,Total,14,Total,"1,440"
Ang Mo Kio,Total,14,Males,730
Ang Mo Kio,Total,14,Females,710
Ang Mo Kio,Total,15,Total,"1,440"
Ang Mo Kio,Total,15,Males,750
Ang Mo Kio,Total,15,Females,700
Ang Mo Kio,Total,16,Total,"1,470"
Ang Mo Kio,Total,16,Males,730
Ang Mo Kio,Total,16,Females,750
Ang Mo Kio,Total,17,Total,"1,370"
Ang Mo Kio,Total,17,Males,680
Ang Mo Kio,Total,17,Females,690
Ang Mo Kio,Total,18,Total,"1,500"
Ang Mo Kio,Total,18,Males,800
Ang Mo Kio,Total,18,Females,700
Ang Mo Kio,Total,19,Total,"1,480"
Ang Mo Kio,Total,19,Males,770
Ang Mo Kio,Total,19,Females,700
Ang Mo Kio,Total,20,Total,"1,700"
Ang Mo Kio,Total,20,Males,880
Ang Mo Kio,Total,20,Females,820
Ang Mo Kio,Total,21,Total,"1,690"
Ang Mo Kio,Total,21,Males,860
Ang Mo Kio,Total,21,Females,830
Ang Mo Kio,Total,22,Total,"1,620"
Ang Mo Kio,Total,22,Males,850
Ang Mo Kio,Total,22,Females,770
Ang Mo Kio,Total,23,Total,"1,680"
Ang Mo Kio,Total,23,Males,860
Ang Mo Kio,Total,23,Females,820
Ang Mo Kio,Total,24,Total,"1,770"
Ang Mo Kio,Total,24,Males,890
Ang Mo Kio,Total,24,Females,880
Ang Mo Kio,Total,25,Total,"1,860"
Ang Mo Kio,Total,25,Males,940
Ang Mo Kio,Total,25,Females,930
Ang Mo Kio,Total,26,Total,"1,860"
Ang Mo Kio,Total,26,Males,970
Ang Mo Kio,Total,26,Females,890
Ang Mo Kio,Total,27,Total,"2,090"
Ang Mo Kio,Total,27,Males,"1,010"
Ang Mo Kio,Total,27,Females,"1,080"
Ang Mo Kio,Total,28,Total,"2,080"
Ang Mo Kio,Total,28,Males,"1,020"
Ang Mo Kio,Total,28,Females,"1,060"
Ang Mo Kio,Total,29,Total,"2,180"
Ang Mo Kio,Total,29,Males,"1,060"
Ang Mo Kio,Total,29,Females,"1,130"
Ang Mo Kio,Total,30,Total,"2,140"
Ang Mo Kio,Total,30,Males,"1,040"
Ang Mo Kio,Total,30,Females,"1,100"
Ang Mo Kio,Total,31,Total,"2,070"
Ang Mo Kio,Total,31,Males,990
Ang Mo Kio,Total,31,Females,"1,080"
Ang Mo Kio,Total,32,Total,"2,350"
Ang Mo Kio,Total,32,Males,"1,160"
Ang Mo Kio,Total,32,Females,"1,190"
Ang Mo Kio,Total,33,Total,"2,110"
Ang Mo Kio,Total,33,Males,"1,010"
Ang Mo Kio,Total,33,Females,"1,090"
Ang Mo Kio,Total,34,Total,"1,740"
Ang Mo Kio,Total,34,Males,860
Ang Mo Kio,Total,34,Females,890
Ang Mo Kio,Total,35,Total,"1,860"
Ang Mo Kio,Total,35,Males,870
Ang Mo Kio,Total,35,Females,990
Ang Mo Kio,Total,36,Total,"1,850"
Ang Mo Kio,Total,36,Males,910
Ang Mo Kio,Total,36,Females,940
Ang Mo Kio,Total,37,Total,"1,890"
Ang Mo Kio,Total,37,Males,870
Ang Mo Kio,Total,37,Females,"1,030"
Ang Mo Kio,Total,38,Total,"2,040"
Ang Mo Kio,Total,38,Males,940
Ang Mo Kio,Total,38,Females,"1,100"
Ang Mo Kio,Total,39,Total,"2,110"
Ang Mo Kio,Total,39,Males,990
Ang Mo Kio,Total,39,Females,"1,120"
Ang Mo Kio,Total,40,Total,"2,270"
Ang Mo Kio,Total,40,Males,"1,070"
Ang Mo Kio,Total,40,Females,"1,200"
Ang Mo Kio,Total,41,Total,"2,150"
Ang Mo Kio,Total,41,Males,"1,030"
Ang Mo Kio,Total,41,Females,"1,120"
Ang Mo Kio,Total,42,Total,"2,220"
Ang Mo Kio,Total,42,Males,"1,050"
Ang Mo Kio,Total,42,Females,"1,180"
Ang Mo Kio,Total,43,Total,"2,130"
Ang Mo Kio,Total,43,Males,980
Ang Mo Kio,Total,43,Females,"1,150"
Ang Mo Kio,Total,44,Total,"2,250"
Ang Mo Kio,Total,44,Males,"1,070"
Ang Mo Kio,Total,44,Females,"1,180"
Ang Mo Kio,Total,45,Total,"2,200"
Ang Mo Kio,Total,45,Males,990
Ang Mo Kio,Total,45,Females,"1,210"
Ang Mo Kio,Total,46,Total,"2,330"
Ang Mo Kio,Total,46,Males,"1,130"
Ang Mo Kio,Total,46,Females,"1,200"
Ang Mo Kio,Total,47,Total,"2,360"
Ang Mo Kio,Total,47,Males,"1,100"
Ang Mo Kio,Total,47,Females,"1,250"
Ang Mo Kio,Total,48,Total,"2,590"
Ang Mo Kio,Total,48,Males,"1,200"
Ang Mo Kio,Total,48,Females,"1,390"
Ang Mo Kio,Total,49,Total,"2,350"
Ang Mo Kio,Total,49,Males,"1,140"
Ang Mo Kio,Total,49,Females,"1,210"
Ang Mo Kio,Total,50,Total,"2,370"
Ang Mo Kio,Total,50,Males,"1,160"
Ang Mo Kio,Total,50,Females,"1,200"
Ang Mo Kio,Total,51,Total,"2,340"
Ang Mo Kio,Total,51,Males,"1,130"
Ang Mo Kio,Total,51,Females,"1,210"
Ang Mo Kio,Total,52,Total,"2,180"
Ang Mo Kio,Total,52,Males,"1,050"
Ang Mo Kio,Total,52,Females,"1,130"
Ang Mo Kio,Total,53,Total,"2,240"
Ang Mo Kio,Total,53,Males,"1,070"
Ang Mo Kio,Total,53,Females,"1,170"
Ang Mo Kio,Total,54,Total,"2,290"
Ang Mo Kio,Total,54,Males,"1,110"
Ang Mo Kio,Total,54,Females,"1,180"
Ang Mo Kio,Total,55,Total,"2,400"
Ang Mo Kio,Total,55,Males,"1,200"
Ang Mo Kio,Total,55,Females,"1,200"
Ang Mo Kio,Total,56,Total,"2,470"
Ang Mo Kio,Total,56,Males,"1,180"
Ang Mo Kio,Total,56,Females,"1,300"
Ang Mo Kio,Total,57,Total,"2,480"
